date,NDVI,EVI,EVI2,CLr,MNDVI,MNDWI,LSWI,NDII,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
2017-05-27,0.29128146,0.19070823,0.18999247,0.34718427,0.14458965,-0.56680745,-0.17358759,0.033760946,0.058696646,0.07501329,0.11013778,0.1541763,0.19470713,0.23827228,0.25977927,0.27824855,0.2932674,0.2971002,0.39690602,0.26159376
2017-06-16,0.51730853,0.37047583,0.3561672,0.948259,0.31364858,-0.5425507,0.014672996,0.27467686,0.052960817,0.057384543,0.09359855,0.10273276,0.16121103,0.27792105,0.31131333,0.3264944,0.34438848,0.35298654,0.31617376,0.18472582
2017-06-19,0.5746058,0.36923283,0.35593772,1.209767,0.36965227,-0.56737953,0.04001591,0.3098781,0.03030224,0.04351899,0.07248698,0.07641884,0.12556553,0.2413392,0.2746473,0.28537357,0.30220845,0.3056639,0.2633929,0.14995117
2017-06-26,0.6121753,0.4526072,0.4322049,1.2923634,0.3849151,-0.5627082,0.07606311,0.35780346,0.033791758,0.04885608,0.0836115,0.08284211,0.14734046,0.29529426,0.33557314,0.3511168,0.36970413,0.37650004,0.29955402,0.1641817
2017-07-06,0.6580824,0.46163076,0.4532644,1.4414749,0.41428185,-0.58473325,0.102197014,0.38719752,0.013812325,0.037085623,0.07297553,0.06995733,0.13597438,0.28994644,0.33094123,0.34462044,0.3627522,0.36946675,0.2794193,0.15094231
2017-07-19,0.6581565,0.43766662,0.42196333,1.4858248,0.4222065,-0.5595342,0.12904112,0.41403812,0.02322143,0.03741196,0.06739679,0.06346552,0.12149158,0.26139012,0.30041322,0.310595,0.33006677,0.32916123,0.23906127,0.12804228
2017-07-26,0.69865674,0.50125396,0.47989285,1.5410012,0.431673,-0.5701836,0.15140545,0.43372703,0.033937547,0.037794396,0.070513986,0.06169172,0.13256018,0.29504395,0.3360506,0.3536454,0.36773446,0.3681044,0.25719503,0.13695893
2017-08-05,0.6945593,0.5093992,0.48607478,1.5216246,0.42895398,-0.5790991,0.12849705,0.42698026,0.0296981,0.039861288,0.07346314,0.06403545,0.13690281,0.29988733,0.34373266,0.35823056,0.3778553,0.3788578,0.27610838,0.14324056
2017-08-15,0.651929,0.4583227,0.43968278,1.2759354,0.38643175,-0.5490592,0.12235439,0.4116698,0.023495784,0.041823596,0.075994305,0.07008671,0.14140464,0.2841688,0.32035673,0.33447853,0.35399282,0.35650608,0.2612329,0.1389837
2017-08-18,0.56165504,0.2257656,0.20404655,1.2057294,0.36863354,-0.4143622,0.15520024,0.40165815,0.054574423,0.037449133,0.04865545,0.04508573,0.072867565,0.13493535,0.15313378,0.14935668,0.1665564,0.17191763,0.10901159,0.06544842
2017-08-25,0.6304411,0.42393813,0.410706,1.166988,0.365315,-0.5665367,0.09923482,0.39295802,0.029290045,0.040363345,0.07156111,0.07135823,0.13978374,0.26659307,0.3009144,0.3155719,0.33558238,0.3361494,0.25874478,0.1374553
2017-09-07,0.6162292,0.3654819,0.36472386,1.1394866,0.35990778,-0.59476894,0.07217637,0.3602715,0.015383213,0.031665538,0.060469076,0.06523365,0.11994662,0.22362776,0.25443834,0.27382472,0.28601956,0.28907752,0.23757619,0.12907813
2017-10-07,0.43020356,0.24591504,0.24535586,0.61369187,0.23211537,-0.5859785,-0.058410786,0.20508705,0.03376455,0.0467401,0.07108041,0.09672987,0.1357899,0.1927814,0.21735582,0.24098349,0.25082147,0.2528286,0.27178243,0.1594944
2017-10-14,0.38001484,0.22283484,0.2308329,0.500626,0.19847673,-0.57350296,-0.07154042,0.19453754,0.027098192,0.04871883,0.081317864,0.116865285,0.16040272,0.21454635,0.239436,0.2586852,0.2744439,0.2746448,0.29908347,0.1748083
2017-10-17,0.38921982,0.22426495,0.22907181,0.51721257,0.20358458,-0.5807848,-0.06272913,0.20403194,0.033179767,0.04834011,0.07519936,0.10996717,0.14885284,0.20037684,0.22433531,0.24822041,0.25966576,0.25832388,0.28205034,0.16454038
2017-11-03,0.34916654,0.20911156,0.21668448,0.43779656,0.17777294,-0.568222,-0.0751097,0.18882203,0.020834375,0.05398089,0.08526301,0.12866178,0.17011182,0.21824238,0.2429483,0.26484734,0.2773646,0.2745024,0.3076788,0.18057552
2018-06-09,0.3686526,0.24496654,0.22646248,0.5400855,0.20935333,-0.538885,-0.117097944,0.101908416,0.05282208,0.07471416,0.10073643,0.123187974,0.16514379,0.22568013,0.25168425,0.26445067,0.27876034,0.27745065,0.33738446,0.2184014
2018-06-14,0.43073466,0.31764528,0.28442597,0.69349736,0.2548631,-0.5041386,-0.036180813,0.18503341,0.06508612,0.08046462,0.10966051,0.12339758,0.17040643,0.258286,0.2850418,0.3045708,0.31116533,0.31956762,0.3276247,0.20971137
2018-06-19,0.5328063,0.3376829,0.3237242,1.0029764,0.32828787,-0.5706455,-0.010523791,0.23065566,0.02595504,0.048687316,0.0772916,0.08466032,0.13182311,0.22838472,0.26030645,0.27548835,0.28581002,0.28488564,0.28363472,0.17374997
2018-06-21,0.54716,0.40305465,0.38312453,1.064227,0.34306547,-0.5573009,0.007573828,0.27306607,0.04164767,0.058244683,0.09572735,0.10004915,0.16165505,0.2932512,0.3312462,0.34201786,0.36350724,0.36378896,0.33753315,0.1955239
2018-06-26,0.54851764,0.4468282,0.3814607,1.1254367,0.35224155,-0.43736514,0.120222725,0.35225987,0.05685487,0.082163066,0.10928245,0.10328691,0.15806326,0.28712547,0.32725775,0.34510186,0.35045862,0.35491025,0.2711382,0.16610472
2018-07-01,0.6075098,0.42273307,0.40922037,1.2784494,0.3852822,-0.55889183,0.068944834,0.34205982,0.028987063,0.044522043,0.08056587,0.07956885,0.13976057,0.2768548,0.31664222,0.32814834,0.34538805,0.3475344,0.28565088,0.16039349
2018-07-04,0.6514733,0.32969838,0.3101053,1.6828706,0.45111316,-0.5129981,0.14063957,0.41045585,0.022582537,0.032732446,0.05252678,0.04740361,0.088234425,0.1953174,0.22696142,0.22480264,0.2497445,0.25495398,0.17429106,0.09642369
2018-07-09,0.48610035,0.3059587,0.23152459,0.99904907,0.3181558,-0.30937114,0.15360737,0.39434117,0.06721077,0.08563754,0.09555037,0.08706101,0.11598289,0.18646114,0.2106071,0.22182555,0.21886384,0.25671107,0.16443814,0.10054294
2018-07-11,0.6529009,0.48119065,0.45351806,1.4487648,0.41513795,-0.5535332,0.11254206,0.37632304,0.037590142,0.046085592,0.079215825,0.072142206,0.13570923,0.2894094,0.3311023,0.34852844,0.36242023,0.36441308,0.27699825,0.15678969
2018-07-14,0.31898946,0.27071193,0.18584068,0.54523695,0.2123527,-0.04431139,0.24617833,0.40067518,0.11572628,0.12072073,0.12882689,0.12028125,0.15078855,0.21559843,0.2329931,0.23365708,0.24561287,0.36621946,0.1422168,0.100442864
2018-07-19,0.681081,0.46394366,0.4379667,1.6014489,0.43904546,-0.564104,0.13506402,0.41068426,0.026611244,0.03905139,0.0662368,0.058966056,0.11585665,0.25483996,0.29905125,0.31427,0.32679662,0.32680562,0.23946539,0.13079031
2018-07-26,0.6824688,0.49939358,0.47700277,1.5563345,0.43285593,-0.5565937,0.14289735,0.42327127,0.020762637,0.040664963,0.0752183,0.066134244,0.13452461,0.2919526,0.3422598,0.35553408,0.373075,0.3734215,0.2658687,0.14305836
2018-07-29,0.7027473,0.45711932,0.4385949,1.6645753,0.44856712,-0.57832503,0.13835117,0.41881964,0.019445408,0.03273911,0.060914412,0.052331258,0.10995076,0.24763589,0.2904899,0.30337858,0.3178093,0.31727386,0.22950885,0.12372143
