DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	air_t_mean	air_p_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ch4_mean	rssi_77_mean	ch4_aux-1_mean	ch4_aux-2_mean	ch4_aux-3_mean	ch4_aux-4_mean	ch4_tc_1_mean	ch4_tc_2_mean	ch4_tc_3_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	129
DATA	2020-11-20T233000_smart3-00433.ghg	2020-11-21	00:00:00	326	0	18000	18000	0.00333239	2	NaN	-0.452626	2	NaN	-2.3771	2	NaN	-0.586879	2	NaN	-0.0535545	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.49308e-11	-5.03782e-13	NaN	NaN	20.0583	477.176	481.822	0	1	405.323	9.6424	9.73628	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	289.627	288.743	101220	1.21684	1010.66	0.0237894	-0.00347033	0.00730392	973.274	1765.82	0.00600236	55.1174	792.545	279.735	0.504443	1.51634	0.082283	1.60017	-4.30307e-14	-1.24291e-15	1.60017	2.56416	182.669	71.5992	2.94754	NaN	0.0523312	0.103057	27.8571	0.14359	0.190411	0.00703296	1	122.435	54	117	249	486	1115	5456	0.00330075	1.00958	-0.580367	1.01808	-2.21104	1.0544	-0.508187	1.0544	-0.0498133	1.0544	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800010019	801011119	899999999	899999999	89999	89999	89	89	2	1	0	1	9	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	31	18000	18000	18000	18000	NaN	80	0.15655	0.0472797	0.00228453	0.285616	0.0880374	155.231	NaN	NaN	-0.000471913	-0.000508187	-0.0498133	NaN	NaN	281.105	102353	24.46	458	9.25545	6.12385	79.6089	225.226	0.283542	0.000169247	0.00017688	0.000019287	0.0000211613	9999.99	9999.99	9999.99	177
DATA	2020-11-21T000000_smart3-00433.ghg	2020-11-21	00:30:00	326.0208	0	18000	18000	-0.00903076	1	NaN	-3.98328	1	NaN	-1.85441	1	NaN	0.916067	1	NaN	-0.0417585	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.76444e-11	-3.39731e-13	NaN	NaN	20.34	482.982	487.516	0	0	391.634	9.29951	9.3868	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	289.091	288.24	101220	1.21912	1010.47	0.0237454	-0.00270595	0.00705725	938.767	1709.72	0.0057888	54.9077	770.952	279.212	0.815777	1.85261	0.0912795	2.02632	-1.26764e-14	-8.6747e-16	2.02632	2.85778	188.387	66.2342	2.58187	NaN	0.0860674	0.0743895	14.0812	0.284067	2.148	0.0375694	1	97.9618	43	96	210	423	1017	5516	-0.00892726	1.01159	-3.9969	1.02318	-1.52311	1.07813	1.07998	1.07813	-0.0342982	1.07813	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	0	1	0	5	4	4	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	36	18000	18000	18000	18000	NaN	80	0.0779236	0.0668826	0.00397275	0.0730819	0.0305648	9.60976	NaN	NaN	-0.00324455	0.00107998	-0.0342982	NaN	NaN	280.245	102347	24.4526	463.047	8.91572	5.5889	79.3259	224.779	0.283215	0.0001638	0.000175688	0.0000181307	0.0000209308	9999.99	9999.99	9999.99	037
DATA	2020-11-21T003000_smart3-00433.ghg	2020-11-21	01:00:00	326.0416	0	18000	18000	0.00377979	1	NaN	1.27174	1	NaN	1.31753	1	NaN	-1.84093	1	NaN	0.0296741	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.14004e-11	-6.1511e-13	NaN	NaN	20.2064	480.45	485.014	0	1	395.828	9.41163	9.50105	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	289.286	288.424	101153	1.21749	1010.53	0.0237771	0.00192288	0.00713282	949.425	1730.1	0.00585863	54.877	780.67	279.375	-0.40296	0.674638	0.0389585	0.786785	9.69544e-14	-1.55398e-15	0.786785	1.65569	135.934	120.85	2.83822	NaN	0.0557188	0.174637	-11.9612	-0.334414	0.965243	-0.0185516	1	44.2624	20	35	59	89	145	338	0.00370968	1.0189	1.32726	1.01727	1.20891	1.02752	-1.87594	1.02752	0.0272277	1.02752	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	1	1	3	6	3	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	36	18000	18000	18000	18000	NaN	80	0.122221	0.223969	0.00308493	0.236187	0.121608	45.2631	NaN	NaN	0.0010788	-0.00187594	0.0272277	NaN	NaN	280.191	102333	24.4508	459.972	9.01078	5.73832	79.041	221.406	0.284191	0.000160415	0.000169126	0.0000177456	0.0000202378	9999.99	9999.99	9999.99	253
DATA	2020-11-21T010000_smart3-00433.ghg	2020-11-21	01:30:00	326.0624	0	18000	18000	0.000692509	1	NaN	-1.25935	1	NaN	-0.870317	1	NaN	0.165091	1	NaN	-0.0196116	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.21192e-11	-4.65478e-13	NaN	NaN	19.4767	463.949	468.523	0	1	409.87	9.76338	9.85964	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	289.845	288.949	101163	1.21524	1010.74	0.0238207	-0.00127083	0.00738586	984.895	1789.26	0.00607772	55.0449	804.361	279.908	-0.837525	0.527396	0.0696266	0.992191	7.69887e-14	-1.13567e-15	0.992191	1.34808	107.794	147.801	4.02401	NaN	0.0238716	0.105139	0.950017	4.21045	1.447	0.0429502	1	496.595	218	479	1035	2051	4816	NaN	0.000653177	1.06022	-1.16656	1.11975	-0.630932	1.26369	0.19251	1.26369	-0.0142173	1.26369	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800100019	899999999	899999999	89999	89999	89	89	0	0	7	1	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	31	18000	18000	18000	18000	NaN	80	0.0215295	0.188049	0.000700773	0.110649	0.0292003	43.2998	NaN	NaN	-0.000949751	0.00019251	-0.0142173	NaN	NaN	280.806	102312	24.46	444.429	9.35279	6.27445	79.0618	223.447	0.287375	0.000194067	0.00020229	0.00002091	0.000023921	9999.99	9999.99	9999.99	036
DATA	2020-11-21T013000_smart3-00433.ghg	2020-11-21	02:00:00	326.0833	0	18000	18000	-0.00532112	1	NaN	11.6773	2	NaN	9.9956	2	NaN	-8.18537	2	NaN	0.225154	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.93119e-11	-1.23084e-12	NaN	NaN	19.7211	469.128	473.74	0	1	409.252	9.73533	9.83104	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	289.449	288.557	101163	1.2169	1010.71	0.0237881	0.01459	0.00737472	982.074	1744.85	0.00606024	56.2841	762.776	279.866	-0.167037	1.44462	0.120672	1.45924	7.81846e-15	-3.00753e-15	1.45924	2.28717	156.775	96.5957	4.74348	NaN	0.0661262	0.0994868	-2.17773	-1.83677	1.16824	-0.143577	1	43.03	19	33	54	80	125	267	-0.0052582	1.01197	12.1074	1.01337	9.02739	1.03028	-8.67679	1.03028	0.203345	1.03028	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	801001019	899999999	899999999	89999	89999	89	89	0	0	0	17	15	15	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	36	18000	18000	18000	18000	NaN	80	0.119229	0.0781547	0.00159022	0.574709	0.308355	201.099	NaN	NaN	0.0098439	-0.00867679	0.203345	NaN	NaN	280.81	102294	24.4518	450.069	9.34101	6.2465	79.2499	223.83	0.286973	0.000182875	0.000188314	0.0000202019	0.0000223699	9999.99	9999.99	9999.99	238
DATA	2020-11-21T020000_smart3-00433.ghg	2020-11-21	02:30:00	326.1041	0	18000	18000	-0.0148761	2	NaN	-3.59656	1	NaN	-0.865645	1	NaN	-0.127251	1	NaN	-0.0194987	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-4.67143e-10	-9.50942e-12	NaN	NaN	20.0548	476.48	481.147	0	1	408.246	9.69948	9.79448	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	289.432	288.543	101281	1.2184	1010.69	0.0237589	-0.00126352	0.0073566	979.615	1743.33	0.00603791	56.1923	763.711	279.83	-0.101406	0.952465	0.0729355	0.960621	-4.22719e-14	-2.32933e-14	0.960621	2.98564	141.459	96.0772	4.35439	NaN	0.110497	0.426072	33.0176	0.121147	4.15478	0.026432	1	22.7302	10	21	44	82	180	790	-0.0147346	1.0096	-3.59279	1.01531	-0.650761	1.03543	0.0820991	1.03543	-0.0146584	1.03543	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	5	9	7	7	4	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	31	18000	18000	18000	18000	NaN	79	0.636941	0.211922	0.00328168	0.308045	0.084756	51.1282	NaN	NaN	-0.00291758	0.0000820991	-0.0146584	NaN	NaN	280.388	102298	24.44	457.002	9.30318	6.19503	77.803	214.6	0.289571	0.000188863	0.000198132	0.000021182	0.00002382	9999.99	9999.99	9999.99	244
DATA	2020-11-21T023000_smart3-00433.ghg	2020-11-21	03:00:00	326.1249	0	18000	18000	-0.0188609	1	NaN	-24.6017	1	NaN	-13.9598	1	NaN	8.1061	1	NaN	-0.314576	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.02671e-10	2.18763e-12	NaN	NaN	19.5507	465.223	469.881	0.1	0	416.572	9.91264	10.0119	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	289.881	288.971	101281	1.2165	1010.82	0.0237958	-0.0203845	0.00750662	1001.08	1791.82	0.00617069	55.8692	790.746	280.145	-0.330315	0.443863	0.0558826	0.556098	5.18135e-14	5.25152e-15	0.556098	1.91883	155.977	126.656	5.76741	NaN	0.124516	0.363215	6.90743	0.579086	1.76232	0.160678	1	6.26604	3	6	12	22	48	207	-0.018548	1.01687	-24.6559	1.03116	-11.8639	1.05716	9.08626	1.05716	-0.267345	1.05716	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800100019	899999999	899999999	89999	89999	89	89	5	7	4	4	8	16	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	36	18000	18000	18000	18000	NaN	79	0.30979	0.412501	0.00413973	0.512102	0.110986	85.1213	NaN	NaN	-0.020051	0.00908626	-0.267345	NaN	NaN	281.095	102299	24.4474	446.63	9.51683	6.52316	78.6529	204.743	0.292004	0.000190577	0.000198696	0.0000208557	0.0000236992	9999.99	9999.99	9999.99	166
DATA	2020-11-21T030000_smart3-00433.ghg	2020-11-21	03:30:00	326.1458	0	18000	18000	-0.0114544	1	NaN	-3.09816	1	NaN	-2.68344	1	NaN	1.4114	1	NaN	-0.0604332	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.98503e-11	-1.42505e-12	NaN	NaN	19.8859	472.461	477.06	-0.2	0	405.702	9.63891	9.73272	0.2	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	289.231	288.348	101212	1.21842	1010.65	0.0237586	-0.00391607	0.00731075	972.852	1721.64	0.00600019	56.5072	748.791	279.729	0.312552	0.1425	-0.0121605	0.343719	-9.38113e-14	-3.51255e-15	0.343719	1.22101	233.492	24.5093	-2.02751	NaN	0.0969588	0.13373	25.8836	0.154538	1.15455	0.0259488	1	4.7357	2	4	9	16	35	142	-0.0112769	1.01574	-3.19561	1.01943	-2.42512	1.03107	1.56477	1.03107	-0.0546156	1.03107	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000119	899999999	899999999	89999	89999	89	89	2	3	0	1	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	31	18000	18000	18000	18000	NaN	80	0.170927	0.0940617	0.00247045	0.398143	0.106953	125.873	NaN	NaN	-0.0025951	0.00156477	-0.0546156	NaN	NaN	280.406	102295	24.4485	453.19	9.24627	6.10237	78.9173	193.868	0.298304	0.000174765	0.000178072	0.0000203117	0.0000217107	9999.99	9999.99	9999.99	232
DATA	2020-11-21T033000_smart3-00433.ghg	2020-11-21	04:00:00	326.1666	0	18000	18000	-0.119171	1	NaN	-18.5382	1	NaN	-3.6222	1	NaN	6.71557	1	NaN	-0.0815543	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.88793e-10	-3.67535e-12	NaN	NaN	20.2568	480.827	485.37	0.1	0	394.351	9.36054	9.44899	0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	288.941	288.085	101205	1.21957	1010.5	0.0237366	-0.00528472	0.00710621	944.771	1692.76	0.00582681	55.8126	747.986	279.304	-0.0362467	0.125385	0.0368595	0.135624	-6.62609e-14	-9.31999e-15	0.135624	1.42195	24.7829	106.124	15.77	NaN	0.312595	0.216788	144.944	0.0275969	5.11795	0.0481221	0	184.326	-27.9722	63.2731	157.559	240.287	337.006	504.897	-0.114574	1.04012	-18.2731	1.02634	-2.58758	1.03333	7.56043	1.03333	-0.0582597	1.03333	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	1	0	1	2	10	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	31	18000	18000	18000	18000	NaN	76	0.364056	0.0444	0.0251212	0.0387612	0.00503549	9.24269	NaN	NaN	-0.0148276	0.00756043	-0.0582597	NaN	NaN	279.639	102309	24.43	460.327	8.96148	5.6574	76.7325	194.065	0.292517	0.000203213	0.000208052	0.0000229834	0.0000248991	9999.99	9999.99	9999.99	057
DATA	2020-11-21T040000_smart3-00433.ghg	2020-11-21	04:30:00	326.1874	0	18000	18000	0.00417865	1	NaN	2.9908	2	NaN	8.26894	2	NaN	-3.76298	2	NaN	0.186097	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.52796e-10	-2.77376e-12	NaN	NaN	20.5608	487.217	491.564	0	1	373.247	8.8446	8.92353	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	288.452	287.644	101205	1.22168	1010.2	0.0236964	0.0120591	0.00672592	892.844	1645.3	0.00550548	54.2663	752.456	278.488	0.484406	1.68675	0.0938809	1.75744	2.11456e-14	-7.43141e-15	1.75744	2.26787	180.681	73.9769	3.06214	NaN	0.0584844	0.0496811	-5.88317	-0.679906	0.361691	-0.0414365	1	89.1075	40	70	114	170	268	587	0.00413466	1.01064	3.43256	1.01286	7.79963	1.0329	-3.89837	1.0329	0.175535	1.0329	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800001119	899999999	899999999	89999	89999	89	89	3	0	3	10	7	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	301	151	18000	18000	0	31	18000	18000	18000	18000	NaN	80	0.0507194	0.0464324	0.00221031	0.167433	0.112785	102.197	NaN	NaN	0.00278133	-0.00389837	0.175535	NaN	NaN	279.45	102280	24.4423	467.043	8.47866	4.85273	78.9738	204.9	0.289338	0.000190752	0.000204289	0.0000214812	0.0000235916	9999.99	9999.99	9999.99	124
DATA	2020-11-21T043000_smart3-00433.ghg	2020-11-21	05:00:00	326.2083	0	18000	18000	-0.0018763	1	NaN	1.40947	2	NaN	1.8212	2	NaN	-2.95515	2	NaN	0.0410187	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.32268e-12	2.49595e-14	NaN	NaN	19.606	465.9	470.033	0	1	369.972	8.79172	8.8697	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	289.251	288.446	101200	1.21825	1010.19	0.0237632	0.00265801	0.0066669	887.476	1732.53	0.00547254	51.2243	845.055	278.401	-0.361153	1.19608	0.0788829	1.2519	-2.50258e-14	6.74631e-17	1.2519	2.07783	147.077	106.802	3.61263	NaN	0.0392449	0.0755734	-3.77193	-1.06046	0.773923	-0.0291832	1	81.1161	36	63	103	152	238	513	-0.00185167	1.0133	1.49645	1.01402	1.6913	1.0288	-2.96662	1.0288	0.038093	1.0288	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	6	1	1	2	3	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	36	18000	18000	18000	18000	NaN	80	0.0501809	0.0986336	0.00233227	0.357221	0.344222	45.3892	NaN	NaN	0.00121597	-0.00296662	0.038093	NaN	NaN	280.026	102275	24.46	446.277	8.42217	4.75858	79.6235	216.639	0.289424	0.000141809	0.000152035	0.0000158191	0.0000178664	9999.99	9999.99	9999.99	117
DATA	2020-11-21T050000_smart3-00433.ghg	2020-11-21	05:30:00	326.2291	0	18000	18000	0.00794534	1	NaN	7.1992	1	NaN	4.17054	1	NaN	-3.89637	1	NaN	0.0939027	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.6077e-11	-6.76772e-13	NaN	NaN	19.4798	462.349	466.395	0	1	365.422	8.67325	8.74914	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	288.906	288.113	101200	1.21971	1010.12	0.0237349	0.0060849	0.00658491	875.551	1695.86	0.00539877	51.6288	820.308	278.207	0.542224	0.823699	0.00728045	0.986174	1.63284e-15	-1.85203e-15	0.986174	1.70969	200.771	56.6439	0.422991	NaN	0.0807102	0.106277	-6.42329	-0.622733	1.7262	-0.0723982	1	31.1268	14	24	41	61	98	221	0.00782128	1.01586	7.33353	1.01544	3.70319	1.02757	-4.21843	1.02757	0.0833801	1.02757	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800100019	810100019	899999999	899999999	89999	89999	89	89	0	1	2	2	1	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	31	18000	18000	18000	18000	NaN	80	0.157319	0.0532877	0.00194759	0.124231	0.0552836	23.6889	NaN	NaN	0.0059523	-0.00421843	0.0833801	NaN	NaN	279.945	102292	24.4451	443.222	8.31465	4.57834	79.7916	216.676	0.287237	0.000150328	0.000157952	0.0000167448	0.0000189085	9999.99	9999.99	9999.99	115
DATA	2020-11-21T053000_smart3-00433.ghg	2020-11-21	06:00:00	326.2499	0	18000	18000	-0.0361141	1	NaN	-2.65177	2	NaN	-6.92612	1	NaN	5.38969	2	NaN	-0.155824	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.31446e-10	2.27481e-12	NaN	NaN	20.1632	476.664	480.628	-0.1	0	348.944	8.24913	8.31774	-0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	288.046	287.294	101302	1.22462	1009.87	0.0236403	-0.0100974	0.00628797	833.692	1608.45	0.00513464	51.832	774.759	277.506	0.218302	0.550057	0.020508	0.592148	5.13465e-14	6.51911e-15	0.592148	2.34969	165.335	68.3533	1.98473	NaN	0.171727	0.468775	168.078	0.0237985	0.382865	0.0124862	1	5.37635	2	5	9	16	33	117	-0.0356747	1.01232	-3.02134	1.01335	-6.59411	1.02415	5.48188	1.02415	-0.148354	1.02415	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800011119	899999999	899999999	89999	89999	89	89	0	0	1	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	18000	18000	0	36	18000	18000	18000	18000	NaN	80	0.780338	0.153001	0.00421082	0.298659	0.137779	47.768	NaN	NaN	-0.00244306	0.00548188	-0.148354	NaN	NaN	278.655	102300	24.4415	456.617	7.90257	3.85339	79.4483	216.813	0.285192	0.000147813	0.000158822	0.0000167753	0.0000187274	9999.99	9999.99	9999.99	183
