DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	air_t_mean	air_p_mean	vin_sf_mean	co2_mean	h2o_mean	dew_point_mean	co2_signal_strength_7500_mean	ch4_mean	rssi_77_mean	ch4_aux-1_mean	ch4_aux-2_mean	ch4_aux-3_mean	ch4_aux-4_mean	ch4_tc_1_mean	ch4_tc_2_mean	ch4_tc_3_mean	PA_1_1_1	P_RAIN_1_1_1	TA_1_1_1	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm+1hour-1]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	[Pa]	[m]	[K]	045
DATA	2021-04-22T233000_smart3-00433.ghg	2021-04-23	00:00:00	113	0	18000	18000	0.00861603	1	NaN	5.7536	1	NaN	7.32157	1	NaN	-0.905945	2	NaN	0.165768	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.78745e-11	1.1861e-12	NaN	NaN	21.2164	514.555	522.982	0	1	664.425	16.1141	16.378	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	295.376	293.872	101257	1.19315	1014.36	0.0242527	0.0107418	0.0119729	1623.75	2436.26	0.0100347	66.6491	812.516	287.403	0.442471	0.267156	-0.0152324	0.517093	1.99942e-14	1.78515e-15	0.517093	1.12479	228.309	31.1228	-1.68805	NaN	0.0849779	0.041648	-9.39764	-0.425639	0.785842	-0.0559431	1	12.9325	6	10	17	27	44	106	0.00839385	1.02647	6.06767	1.02208	6.53329	1.03002	-1.29515	1.03002	0.147921	1.03002	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	1	17	0	6	4	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	80	0.0391494	0.0367445	0.00740214	0.0137372	0.678352	77.0211	NaN	NaN	0.00501344	-0.00129515	0.147921	NaN	NaN	288.025	101457	24.46	500.758	15.6821	13.8713	78.1752	80.6341	5.19418	0.000494636	0.000489833	0.0000449605	0.0000537393	9999.99	9999.99	9999.99	101413	0	288.7	136
DATA	2021-04-23T000000_smart3-00433.ghg	2021-04-23	00:30:00	113.0208	0	18000	18000	-0.00382658	1	NaN	4.69303	1	NaN	6.91346	1	NaN	3.28241	1	NaN	0.156526	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.30117e-11	1.66296e-12	NaN	NaN	21.243	515.181	523.644	0	1	666.384	16.161	16.4265	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	295.365	293.857	101257	1.19319	1014.38	0.0242518	0.0101429	0.0120082	1628.45	2434.01	0.010064	66.9041	805.559	287.448	0.282624	0.233993	0.0156864	0.367253	-1.58353e-14	2.49549e-15	0.367253	0.902057	221.59	39.6224	2.44801	NaN	0.0566305	0.0287662	-3.40989	-1.17306	0.678826	-0.0684686	1	10.7452	5	8	14	21	34	77	-0.00369741	1.03493	4.97907	1.0276	6.20009	1.03449	2.82446	1.03449	0.140375	1.03449	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	0	0	0	4	10	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	4801	4801	0	31	18000	18000	18000	18000	NaN	75	0.0296792	0.0224505	0.0054028	0.0552858	0.39338	26.418	NaN	NaN	0.00411373	0.00282446	0.140375	NaN	NaN	287.894	101435	24.4507	501.264	15.7246	13.9104	76.2112	84.2529	3.57065	0.000506863	0.000501407	0.0000456241	0.0000549348	9999.99	9999.99	9999.99	101386	0	288.758	195
DATA	2021-04-23T003000_smart3-00433.ghg	2021-04-23	01:00:00	113.0416	0	18000	18000	-0.0173637	1	NaN	-8.15211	2	NaN	-3.79397	2	NaN	17.0765	1	NaN	-0.0857882	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.06127e-10	-6.06003e-12	NaN	NaN	22.153	534.529	543.063	-0.1	0	651.285	15.7149	15.9658	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	293.987	292.527	101298	1.19929	1014.11	0.024129	-0.00555908	0.0117362	1584.36	2241.81	0.00978589	70.6731	657.454	287.024	0.287592	-0.287456	-0.00143185	0.406623	6.17479e-14	-9.30473e-15	0.406623	1.62367	295.855	315.014	-0.201757	NaN	0.120326	0.215441	18.8332	0.21239	2.1487	0.0557061	1	4.12209	2	4	8	14	31	127	-0.0171167	1.01443	-8.21468	1.02035	-2.973	1.03419	17.0468	1.03419	-0.0672245	1.03419	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	10	0	2	1	2	6	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	72	0.0960871	0.325802	0.00899415	0.401393	2.00237	95.0621	NaN	NaN	-0.00675431	0.0170468	-0.0672245	NaN	NaN	287.523	101420	24.44	522.133	15.351	13.5369	72.2559	96.047	2.54702	0.000425503	0.000423014	0.0000403362	0.000047381	9999.99	9999.99	9999.99	101377	0	288.606	207
DATA	2021-04-23T010000_smart3-00433.ghg	2021-04-23	01:30:00	113.0624	0	18000	18000	-0.0264076	0	NaN	-1.50248	1	NaN	6.49403	0	NaN	17.0559	0	NaN	0.146688	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.91551e-12	1.64668e-13	NaN	NaN	19.0978	459.063	466.233	0.1	0	639.771	15.3785	15.6186	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.871	291.448	101298	1.20389	1013.9	0.0240374	0.00950539	0.0115287	1550.61	2095.65	0.00957622	73.9917	545.044	286.693	0.442916	-1.18665	-0.0131806	1.26669	3.01741e-14	2.57385e-16	1.26669	2.73502	327.246	290.468	-0.596209	NaN	0.148106	0.184485	190.543	0.0209926	-0.231363	0.00831107	1	23.992	10	21	42	74	148	539	-0.026197	1.00804	-1.10089	1.01131	6.32955	1.02918	16.5856	1.02918	0.142973	1.02918	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800010019	899999999	899999999	89999	89999	89	89	2	0	1	0	0	11	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	77	0.227738	0.116345	0.024887	0.0659478	2.3561	26.7478	NaN	NaN	-0.000901916	0.0165856	0.142973	NaN	NaN	287.229	101404	24.448	449.743	15.0664	13.2487	76.5821	86.522	3.0716	0.000418367	0.000418158	0.0000391145	0.0000461255	9999.99	9999.99	9999.99	101374	0	288.128	094
DATA	2021-04-23T013000_smart3-00433.ghg	2021-04-23	02:00:00	113.0833	0	18000	18000	-0.0373359	0	NaN	0.244899	0	NaN	12.245	0	NaN	7.05315	1	NaN	0.276485	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.6411e-11	9.0765e-13	NaN	NaN	18.2858	439.114	445.842	0	0	628.417	15.0908	15.322	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.442	291.047	101248	1.20508	1013.73	0.0240139	0.0179162	0.0113241	1521	2043.6	0.00939692	74.4275	522.599	286.397	0.619407	-1.36296	-0.0131319	1.49717	3.56989e-14	1.44434e-15	1.49717	3.07042	322.182	294.44	-0.502556	NaN	0.176017	0.198766	-1961.49	-0.00203927	0.02	-0.00113892	1	25.2119	11	22	42	72	139	465	-0.0369018	1.01176	0.965114	1.01328	11.6844	1.03059	6.71431	1.03059	0.263828	1.03059	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	4	0	0	10	7	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	80	0.216779	0.14589	0.0348621	0.00954852	0.179872	13.8609	NaN	NaN	0.000790023	0.00671431	0.263828	NaN	NaN	286.923	101368	24.4487	430.317	14.7885	12.9585	78.1004	82.416	3.83816	0.000393487	0.000395101	0.0000306278	0.0000398775	9999.99	9999.99	9999.99	101346	0	287.693	053
DATA	2021-04-23T020000_smart3-00433.ghg	2021-04-23	02:30:00	113.1041	0	18000	18000	-0.0487196	0	NaN	-2.75921	2	NaN	20.9372	0	NaN	2.86058	0	NaN	0.472938	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.31814e-11	-8.11146e-13	NaN	NaN	17.6558	424.948	431.363	0	0	617.799	14.8695	15.0939	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.835	291.458	101154	1.20237	1013.61	0.0240684	0.0306464	0.0111327	1497.41	2097.09	0.00925899	71.4043	599.676	286.158	0.857044	-1.86425	-0.029783	2.05203	-2.91925e-14	-1.31296e-15	2.05203	3.65512	320.566	294.689	-0.831614	NaN	0.201295	0.187021	260.209	0.0153723	-0.131785	0.0112471	0	92.7591	-14.0766	31.8412	79.2891	120.921	169.593	254.082	-0.0483883	1.00685	-1.49803	1.01138	20.0786	1.03791	2.69548	1.03791	0.453543	1.03791	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	2	2	0	11	12	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	80	0.204058	0.111999	0.0579851	0.0428812	0.0150953	30.7328	NaN	NaN	-0.00122917	0.00269548	0.453543	NaN	NaN	286.805	101360	24.44	415.356	14.5338	12.6917	78.5214	79.5631	4.47651	0.000351283	0.000381495	0.0000337784	0.0000366296	9999.99	9999.99	9999.99	101320	0	287.518	128
DATA	2021-04-23T023000_smart3-00433.ghg	2021-04-23	03:00:00	113.1249	0	18000	18000	-0.027237	0	NaN	0.716676	0	NaN	17.0888	0	NaN	1.24547	0	NaN	0.386047	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.07057e-11	-1.07456e-12	NaN	NaN	17.5135	421.66	427.975	0	0	612.892	14.7562	14.9772	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.93	291.564	101154	1.20199	1013.55	0.0240763	0.0250159	0.0110443	1486.05	2111.02	0.0091884	70.395	624.968	286.042	0.481556	-1.46444	-0.0156194	1.54166	-1.512e-14	-1.75326e-15	1.54166	3.04778	326.833	288.203	-0.580504	NaN	0.150532	0.118909	-418.955	-0.00954757	0.0419384	-0.00390794	1	33.4157	15	29	54	92	174	559	-0.0269262	1.01154	1.71885	1.01319	16.279	1.03096	1.01661	1.03096	0.367754	1.03096	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800010019	899999999	899999999	89999	89999	89	89	5	0	1	7	7	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	80	0.132472	0.0736402	0.0317066	0.00477289	0.00165331	33.8809	NaN	NaN	0.00141088	0.00101661	0.367754	NaN	NaN	286.728	101360	24.4447	411.895	14.4145	12.5658	78.5524	79.3372	4.43287	0.000382142	0.000396163	0.0000346334	0.0000402136	9999.99	9999.99	9999.99	101324	0	287.448	103
DATA	2021-04-23T030000_smart3-00433.ghg	2021-04-23	03:30:00	113.1458	0	18000	18000	-0.0210645	0	NaN	-0.818967	2	NaN	16.6096	0	NaN	1.98664	0	NaN	0.37528	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.42874e-11	-4.95106e-13	NaN	NaN	17.6514	424.734	431.078	0	0	611.682	14.7185	14.9383	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	293.085	291.721	101267	1.20269	1013.53	0.0240623	0.0243181	0.0110225	1483.92	2131.94	0.00916489	69.6044	648.015	286.02	0.719863	-1.12859	-0.0115541	1.33867	1.05805e-13	-8.09417e-16	1.33867	2.50017	312.302	302.531	-0.494527	NaN	0.132343	0.183945	249.331	0.016043	-0.0493068	0.00507663	1	30.7752	13	27	53	94	187	671	-0.0208006	1.01269	0.177353	1.01371	15.9597	1.02938	1.81528	1.02938	0.360596	1.02938	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	2	3	0	7	6	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	26	18000	18000	18000	18000	NaN	80	0.105477	0.233067	0.0293469	0.0100322	0.00549771	37.3312	NaN	NaN	0.000145495	0.00181528	0.360596	NaN	NaN	286.745	101332	24.45	415.277	14.3907	12.5365	78.5666	79.907	4.28532	0.000362755	0.000381743	0.0000342267	0.000039445	9999.99	9999.99	9999.99	101309	0	287.395	011
DATA	2021-04-23T033000_smart3-00433.ghg	2021-04-23	04:00:00	113.1666	0	18000	18000	-0.00370161	2	NaN	-1.39979	2	NaN	10.4176	0	NaN	1.24318	0	NaN	0.235452	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.4728e-11	-8.57378e-13	NaN	NaN	17.7859	428.47	434.932	0	0	616.681	14.8561	15.0801	0	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	293.428	292.05	101267	1.20127	1013.62	0.0240904	0.0152573	0.0111126	1497.73	2176.18	0.00925067	68.824	678.444	286.161	0.324759	-0.484125	-0.00824252	0.583021	-5.14944e-14	-1.39031e-15	0.583021	1.99476	304.54	303.854	-0.810052	NaN	0.0555104	0.10734	10.765	0.371573	-0.134368	0.0207097	1	31.8207	14	30	65	129	299	1496	-0.00365675	1.01227	-0.758737	1.01886	10.0154	1.0355	1.17119	1.0355	0.226361	1.0355	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	2	3	0	13	9	1	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	31	18000	18000	18000	18000	NaN	80	0.15905	0.0454996	0.0101297	0.0256038	0.00469558	47.7903	NaN	NaN	-0.000623124	0.00117119	0.226361	NaN	NaN	286.921	101314	24.458	418.774	14.5199	12.6698	78.5648	79.6133	4.45407	0.000373673	0.000390088	0.0000314923	0.0000382249	9999.99	9999.99	9999.99	101282	0	287.503	223
DATA	2021-04-23T040000_smart3-00433.ghg	2021-04-23	04:30:00	113.1874	0	18000	18000	-0.0218922	1	NaN	9.41863	1	NaN	20.3148	1	NaN	-1.77442	2	NaN	0.459101	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.16031e-11	2.06337e-12	NaN	NaN	18.4143	443.604	450.295	0	1	616.782	14.8584	15.0825	-0.2	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	293.338	291.961	101237	1.20129	1013.62	0.0240901	0.0297498	0.0111144	1497.52	2164.07	0.00925208	69.1993	666.549	286.159	0.296475	0.445187	0.0395851	0.536335	1.19569e-14	3.34539e-15	0.536335	1.66515	192.311	56.3381	4.23266	NaN	0.134996	0.101301	-23.006	-0.173868	0.463634	-0.0572988	1	7.39664	3	6	11	17	29	77	-0.0213437	1.0257	10.4258	1.02158	18.7353	1.02968	-2.39397	1.02968	0.423405	1.02968	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800001019	899999999	899999999	89999	89999	89	89	2	7	1	4	5	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	301	151	0	0	0	31	18000	18000	18000	18000	NaN	80	0.146437	0.0476027	0.00856105	0.0744953	0.150252	84.9167	NaN	NaN	0.00856229	-0.00239397	0.423405	NaN	NaN	286.798	101339	24.4573	433.272	14.5126	12.6651	78.3458	81.4274	4.10157	0.000350974	0.000351862	0.0000342368	0.0000397129	9999.99	9999.99	9999.99	101293	0	287.593	095
DATA	2021-04-23T043000_smart3-00433.ghg	2021-04-23	05:00:00	113.2082	0	18000	18000	-0.0335406	1	NaN	4.46264	1	NaN	-0.768387	2	NaN	15.5386	1	NaN	-0.0173522	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.0479e-12	-3.05649e-14	NaN	NaN	20.0555	482.103	488.979	-0.1	0	584.974	14.0619	14.2625	0	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	292.495	291.195	101163	1.20392	1013.16	0.0240385	-0.00112442	0.0105412	1416.57	2062.77	0.00875573	68.6733	646.197	285.312	0.599645	0.934804	0.0597604	1.11221	-1.04016e-13	-5.225e-17	1.11221	2.83853	194.34	57.3212	3.08007	NaN	0.166911	0.159573	-91.7143	-0.0436137	-5.8078	-0.0219194	1	18.3675	8	15	28	46	83	241	-0.0330614	1.01449	4.35279	1.01466	-1.05355	1.02803	14.8779	1.02803	-0.023792	1.02803	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	2	13	0	2	7	3	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	77	0.162671	0.134565	0.0219102	0.0339655	0.225792	99.4154	NaN	NaN	0.00356855	0.0148779	-0.023792	NaN	NaN	285.769	101335	24.44	470.209	13.7154	11.8052	77.1594	81.9638	4.49644	0.000382859	0.00041255	0.0000313349	0.0000394946	9999.99	9999.99	9999.99	101301	0	286.823	038
DATA	2021-04-23T050000_smart3-00433.ghg	2021-04-23	05:30:00	113.2291	1	18000	18000	-0.0183951	0	NaN	9.49435	0	NaN	14.4434	0	NaN	3.04524	1	NaN	0.325952	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.86375e-11	1.99912e-12	NaN	NaN	21.6937	520.099	527.068	-0.1	0	551.498	13.222	13.3991	-0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	291.718	290.499	101163	1.20719	1012.68	0.0239747	0.0211217	0.009938	1332.32	1974.29	0.00823235	67.4832	641.976	284.384	0.579853	1.17965	0.0716762	1.31642	-3.69041e-15	3.6249e-15	1.31642	2.67528	190.69	63.8238	3.12118	NaN	0.123442	0.0935438	-17.4352	-0.229421	0.657348	-0.0629152	1	32.9085	15	26	45	69	114	277	-0.0181619	1.01284	10.2178	1.01378	13.2138	1.02922	2.23122	1.02922	0.298201	1.02922	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	9	3	0	3	25	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	26	18000	18000	18000	18000	NaN	77	0.109962	0.0545447	0.0225806	0.0347594	0.11194	93.6541	NaN	NaN	0.00835815	0.00223122	0.298201	NaN	NaN	284.838	101337	24.4447	506.957	12.8881	10.8663	77.0352	79.0506	5.64737	0.000274513	0.000284112	0.000028813	0.0000322885	9999.99	9999.99	9999.99	101300	0	285.926	155
DATA	2021-04-23T053000_smart3-00433.ghg	2021-04-23	06:00:00	113.2499	1	18000	18000	-0.0193567	0	NaN	6.60554	0	NaN	14.1083	0	NaN	-0.492346	2	NaN	0.318334	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.14116e-10	-2.96466e-12	NaN	NaN	20.8581	499.643	506.214	0	1	541.88	12.9804	13.1511	-0.1	0	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	291.515	290.318	101178	1.20823	1012.54	0.0239544	0.020628	0.00976467	1308.27	1951.87	0.00808183	67.0262	643.607	284.109	0.519764	1.00219	0.0835325	1.13205	-1.98808e-14	-5.47107e-15	1.13205	2.24247	191.93	62.5876	4.23165	NaN	0.126573	0.0819011	-27.0175	-0.148052	0.468203	-0.0426586	1	27.2785	12	22	38	60	102	258	-0.0190837	1.01431	7.34349	1.01456	13.1105	1.02813	-1.01028	1.02813	0.295819	1.02813	NaN	NaN	NaN	NaN	800000009	800000019	800000009	800000009	800000019	800000019	899999999	899999999	89999	89999	89	89	0	2	0	2	21	2	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	18000	0	18000	0	0	101	0	0	0	0	36	18000	18000	18000	18000	NaN	78	0.0850383	0.0552414	0.0235225	0.0147286	0.172839	22.4846	NaN	NaN	0.00600264	-0.00101028	0.295819	NaN	NaN	284.603	101352	24.45	486.961	12.6509	10.5912	77.3042	80.9565	4.46167	0.000231601	0.000235987	0.0000256398	0.000027946	9999.99	9999.99	9999.99	101316	0	285.417	067
